Dataset 1, avg, 78.025, 16.945, 2.574, 3.251, 2.001
Dataset 1, std, 36.926, 2.361, 0.170, 0.728, 0.001
Dataset 2, avg, 163.006, 17.715, 2.683, 4.602, 2.001
Dataset 2, std, 22.073, 2.290, 0.147, 0.663, 0.002
Dataset 3, avg, 156.126, 17.678, 2.679, 4.370, 2.001
Dataset 3, std, 16.978, 2.331, 0.149, 0.549, 0.002
Dataset 4, avg, 95.571, 19.843, 3.388, 5.128, 2.001
Dataset 4, std, 30.028, 6.993, 1.134, 1.627, 0.011
Dataset 5, avg, 104.980, 17.280, 2.758, 1.265, 2.001
Dataset 5, std, 131.590, 2.522, 3.533, 118.999, 0.003

